route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
023R,20260531-Sunday-2-26-04-0000001,32378201,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378202,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378203,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378204,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378205,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378206,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378207,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378208,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378209,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378210,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378211,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378212,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378213,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378214,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378215,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378216,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378217,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378218,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378219,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378220,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378221,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378222,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378223,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378224,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378225,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378226,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378227,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378228,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378229,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378230,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378231,"Downtown",0,1,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378232,"Mill Woods",1,1,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378233,"Downtown",0,3,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378234,"Mill Woods",1,3,023R-43-South,1,1
023R,20260531-Sunday-2-26-04-0000001,32378235,"Downtown",0,3,023R-18-North,1,1
023R,20260531-Sunday-2-26-04-0000001,32378236,"Mill Woods",1,3,023R-43-South,1,1
